,ss,sigma_0.01_width_mean,sigma_0.01_width_std,sigma_0.01_pval,sigma_0.10_width_mean,sigma_0.10_width_std,sigma_0.10_pval,sigma_0.20_width_mean,sigma_0.20_width_std,sigma_0.20_pval,sigma_0.25_width_mean,sigma_0.25_width_std,sigma_0.25_pval,sigma_0.30_width_mean,sigma_0.30_width_std,sigma_0.30_pval,sigma_0.50_width_mean,sigma_0.50_width_std,sigma_0.50_pval,sigma_0.70_width_mean,sigma_0.70_width_std,sigma_0.70_pval,sigma_0.80_width_mean,sigma_0.80_width_std,sigma_0.80_pval,sigma_1.00_width_mean,sigma_1.00_width_std,sigma_1.00_pval
36,4.714866363,0.003171131,0.003911162,0.277855644,0.023040308,0.00155832,0.757022587,0.046472465,0.0040141,0.721328211,0.057716528,0.00396392,0.74674345,0.070454265,0.002322151,0.686765944,0.11555369,0.007355474,0.557018293,0.162173241,0.004704878,0.397131833,0.185251445,0.006405845,0.247398151,0.231966972,0.005771826,0.201389404
37,5.963623317,0.021560533,0.050980566,0.02506556,0.02341304,0.000745969,0.800514607,0.045824296,0.000820043,0.736843298,0.070177526,0.03109088,0.555360643,0.068851374,0.001624371,0.652299204,0.115746476,0.006469377,0.607585107,0.160785208,0.003397784,0.434415649,0.185554111,0.014943103,0.310837885,0.230798146,0.012137853,0.190433958
38,7.543120063,0.002361991,7.15E-05,0.441043818,0.024842747,0.004463216,0.767481675,0.0459777,0.001070744,0.746441789,0.058126605,0.001610383,0.809365067,0.068965156,0.002044851,0.708590288,0.116204482,0.003481319,0.617397591,0.165050839,0.015947299,0.399663994,0.188098067,0.006450201,0.439922148,0.246224513,0.019540181,0.239753669
39,9.540954763,0.002480647,0.00015678,0.292573286,0.023347587,0.000655317,0.807285252,0.047468177,0.002065684,0.825595039,0.069192082,0.034569501,0.601319773,0.073551057,0.004822448,0.736497744,0.115876815,0.00306779,0.65945962,0.163506047,0.018168948,0.415136389,0.196520333,0.014248595,0.408385725,0.240301174,0.019345333,0.318826423
40,12.06792641,0.0024102,0.000114483,0.414500915,0.02324949,0.000774299,0.776395401,0.050214872,0.015924532,0.705588574,0.066926381,0.025072782,0.622863217,0.073833497,0.020535489,0.706088188,0.128403589,0.019431488,0.429998656,0.173768009,0.011551557,0.489065745,0.184422943,0.016363561,0.398359803,0.238437284,0.01017549,0.300132727
41,15.26417967,0.002453229,0.000171489,0.237527702,0.02608518,0.002957765,0.779415217,0.050236919,0.004005664,0.7268046,0.064183938,0.022310289,0.636405348,0.076315,0.007840692,0.71745357,0.118104629,0.005297095,0.673167525,0.19210305,0.036472826,0.427721954,0.196894592,0.011496506,0.513644334,0.237302993,0.02795952,0.32154444
42,19.30697729,0.002555008,0.000206708,0.235388782,0.026425659,0.01912968,0.735211116,0.047163615,0.0019929,0.755304872,0.092246711,0.079644988,0.645999163,0.074660178,0.021124111,0.75511231,0.143402349,0.096535814,0.618895289,0.169249285,0.00794371,0.592369971,0.198390601,0.01338419,0.535740419,0.335672645,0.093078355,0.15412904
43,24.42053095,0.013664534,0.034574751,0.066483417,0.023656009,0.001432612,0.797470537,0.070083634,0.069418521,0.693201011,0.065209158,0.005683309,0.803418939,0.077550479,0.008818589,0.755303543,0.123592892,0.007809149,0.706993118,0.169680926,0.010312965,0.630781793,0.196749872,0.014423313,0.578517886,0.253320307,0.041876074,0.383961877
44,30.88843596,0.069599465,0.116199642,0.011259966,0.1088354,0.065072737,0.00924048,0.061792376,0.013734398,0.711160414,0.09960287,0.061909492,0.402196681,0.118121302,0.114659259,0.612918379,0.127220356,0.011359299,0.791383007,0.187679326,0.027029117,0.643888993,0.396837492,0.1482945,0.025495199,0.245639439,0.038350312,0.506576628
45,39.06939937,0.002945973,0.000428355,0.024539599,0.025370589,0.002338466,0.799855076,0.387402627,0.510275533,4.04E-09,0.201868649,0.263704879,0.080636169,0.115859072,0.031485943,0.514080925,0.224179932,0.343782758,0.281122561,0.202383094,0.117743808,0.425188095,0.412848616,0.212149425,0.056753744,0.277325323,0.158283815,0.42567334
46,49.41713361,0.003307139,0.000659176,0.241074691,0.041532254,0.014149693,0.559706579,0.056476308,0.007243111,0.74605556,0.067097579,0.008450558,0.791887888,0.089869036,0.054955051,0.666814917,0.199384562,0.051346573,0.506539282,0.203852732,0.028853749,0.497372883,0.235122164,0.129610364,0.530632833,0.279863146,0.144079329,0.506235544
47,62.50551925,0.325278811,0.485230786,0.294138661,0.030986938,0.004227875,0.738662424,0.097699168,0.039853401,0.532805481,0.089088878,0.023593305,0.786680691,0.087595311,0.013795991,0.802646032,0.188653828,0.190907323,0.566376802,0.214716187,0.070365358,0.641598957,0.279172627,0.043987382,0.605588544,0.385673926,0.303491936,0.224101331
48,79.06043211,0.00393928,0.0006779,0.078137173,0.034581019,0.006621428,0.806868228,0.192355079,0.084417183,0.043284538,0.091756237,0.018723014,0.750884747,0.367990923,0.367296065,0.312590189,0.152204856,0.020419127,0.669938011,0.583818698,0.409521056,0.568845249,0.445151805,0.471919974,0.401075939,0.492720737,0.306957207,0.425967435
49,100,0.402088619,0.463449092,0.469213529,0.513444628,0.345877778,0.535751954,0.42952181,0.320240584,0.314142497,0.629872226,0.482002345,0.628720989,0.442803131,0.295063581,0.371314059,0.379457515,0.427752636,0.651443582,0.532247517,0.418879067,0.633830927,0.445034455,0.391082951,0.697748281,0.615753234,0.4860832,0.720683047
