steady state,ts 2 slope,ts 2 std,ts 7 slope,ts 7 std,ts 3 slope,ts 3 std,ts 1 slope,ts 1 std,ts 0 slope,ts 0 std,ts 4 slope,ts 4 std,ts 5 slope,ts 5 std,ts 6 slope,ts 6 std,ts 8 slope,ts 8 std,ts 9 slope,ts 9 std,ts 10 slope,ts 10 std,ts 11 slope,ts 11 std,ts 12 slope,ts 12 std,ts 14 slope,ts 14 std,ts 13 slope,ts 13 std,ts 15 slope,ts 15 std,ts 16 slope,ts 16 std,ts 17 slope,ts 17 std,ts 18 slope,ts 18 std,ts 19 slope,ts 19 std
1.009E-01,-1.367E+00,7.478E-02,-1.367E+00,7.478E-02,-1.367E+00,7.478E-02,-1.367E+00,7.478E-02,-1.367E+00,7.478E-02,-1.367E+00,7.478E-02,-1.367E+00,7.478E-02,-1.367E+00,7.478E-02,-1.353E+00,8.881E-02,-1.353E+00,8.881E-02,-1.421E+00,8.231E-02,-1.421E+00,8.231E-02,-1.458E+00,8.969E-02,-1.396E+00,8.007E-02,-1.396E+00,8.007E-02,-1.396E+00,8.007E-02,-1.418E+00,8.397E-02,-1.418E+00,8.397E-02,-1.365E+00,8.455E-02,-1.394E+00,7.421E-02
1.033E-01,-1.445E+00,7.736E-02,-1.445E+00,7.736E-02,-1.445E+00,7.736E-02,-1.445E+00,7.736E-02,-1.445E+00,7.736E-02,-1.445E+00,7.736E-02,-1.445E+00,7.736E-02,-1.445E+00,7.736E-02,-1.409E+00,7.821E-02,-1.409E+00,7.821E-02,-1.552E+00,7.214E-02,-1.552E+00,7.214E-02,-1.417E+00,7.527E-02,-1.418E+00,7.333E-02,-1.418E+00,7.333E-02,-1.418E+00,7.333E-02,-1.425E+00,8.499E-02,-1.425E+00,8.499E-02,-1.432E+00,8.537E-02,-1.446E+00,7.909E-02
1.057E-01,-1.390E+00,7.548E-02,-1.390E+00,7.548E-02,-1.390E+00,7.548E-02,-1.390E+00,7.548E-02,-1.390E+00,7.548E-02,-1.390E+00,7.548E-02,-1.390E+00,7.548E-02,-1.390E+00,7.548E-02,-1.326E+00,6.973E-02,-1.326E+00,6.973E-02,-1.405E+00,8.740E-02,-1.405E+00,8.740E-02,-1.359E+00,7.672E-02,-1.350E+00,8.493E-02,-1.350E+00,8.493E-02,-1.350E+00,8.493E-02,-1.370E+00,8.918E-02,-1.370E+00,8.918E-02,-1.467E+00,8.139E-02,-1.318E+00,8.457E-02
1.082E-01,-1.147E+00,8.416E-02,-1.147E+00,8.416E-02,-1.147E+00,8.416E-02,-1.147E+00,8.416E-02,-1.147E+00,8.416E-02,-1.147E+00,8.416E-02,-1.147E+00,8.416E-02,-1.147E+00,8.416E-02,-1.346E+00,7.906E-02,-1.346E+00,7.906E-02,-1.364E+00,8.971E-02,-1.364E+00,8.971E-02,-1.350E+00,8.712E-02,-1.291E+00,7.972E-02,-1.291E+00,7.972E-02,-1.291E+00,7.972E-02,-1.328E+00,7.664E-02,-1.328E+00,7.664E-02,-1.319E+00,7.907E-02,-1.418E+00,8.018E-02
1.107E-01,-1.431E+00,8.369E-02,-1.431E+00,8.369E-02,-1.431E+00,8.369E-02,-1.431E+00,8.369E-02,-1.431E+00,8.369E-02,-1.431E+00,8.369E-02,-1.431E+00,8.369E-02,-1.431E+00,8.369E-02,-1.428E+00,8.334E-02,-1.428E+00,8.334E-02,-1.382E+00,8.268E-02,-1.382E+00,8.268E-02,-1.200E+00,7.823E-02,-1.334E+00,7.776E-02,-1.334E+00,7.776E-02,-1.334E+00,7.776E-02,-1.455E+00,8.110E-02,-1.455E+00,8.110E-02,-1.316E+00,8.310E-02,-1.472E+00,8.132E-02
1.133E-01,-1.380E+00,8.536E-02,-1.380E+00,8.536E-02,-1.380E+00,8.536E-02,-1.380E+00,8.536E-02,-1.380E+00,8.536E-02,-1.380E+00,8.536E-02,-1.380E+00,8.536E-02,-1.380E+00,8.536E-02,-1.357E+00,7.678E-02,-1.357E+00,7.678E-02,-1.362E+00,8.924E-02,-1.362E+00,8.924E-02,-1.344E+00,8.708E-02,-1.269E+00,8.434E-02,-1.269E+00,8.434E-02,-1.269E+00,8.434E-02,-1.282E+00,8.567E-02,-1.282E+00,8.567E-02,-1.339E+00,7.432E-02,-1.390E+00,8.449E-02
1.159E-01,-1.284E+00,8.335E-02,-1.284E+00,8.335E-02,-1.284E+00,8.335E-02,-1.284E+00,8.335E-02,-1.284E+00,8.335E-02,-1.284E+00,8.335E-02,-1.284E+00,8.335E-02,-1.284E+00,8.335E-02,-1.227E+00,8.657E-02,-1.227E+00,8.657E-02,-1.449E+00,8.220E-02,-1.449E+00,8.220E-02,-1.394E+00,7.800E-02,-1.444E+00,8.256E-02,-1.444E+00,8.256E-02,-1.444E+00,8.256E-02,-1.435E+00,8.404E-02,-1.435E+00,8.404E-02,-1.482E+00,7.694E-02,-1.315E+00,8.353E-02
1.186E-01,-1.350E+00,7.408E-02,-1.350E+00,7.408E-02,-1.350E+00,7.408E-02,-1.350E+00,7.408E-02,-1.350E+00,7.408E-02,-1.350E+00,7.408E-02,-1.350E+00,7.408E-02,-1.350E+00,7.408E-02,-1.387E+00,8.729E-02,-1.387E+00,8.729E-02,-1.402E+00,7.948E-02,-1.402E+00,7.948E-02,-1.305E+00,8.181E-02,-1.301E+00,7.933E-02,-1.301E+00,7.933E-02,-1.301E+00,7.933E-02,-1.268E+00,7.541E-02,-1.268E+00,7.541E-02,-1.333E+00,8.103E-02,-1.277E+00,8.159E-02
1.214E-01,-1.374E+00,7.855E-02,-1.374E+00,7.855E-02,-1.374E+00,7.855E-02,-1.374E+00,7.855E-02,-1.374E+00,7.855E-02,-1.374E+00,7.855E-02,-1.374E+00,7.855E-02,-1.374E+00,7.855E-02,-1.420E+00,7.824E-02,-1.420E+00,7.824E-02,-1.276E+00,8.340E-02,-1.276E+00,8.340E-02,-1.295E+00,8.711E-02,-1.433E+00,7.949E-02,-1.433E+00,7.949E-02,-1.433E+00,7.949E-02,-1.271E+00,7.754E-02,-1.271E+00,7.754E-02,-1.404E+00,7.867E-02,-1.244E+00,7.680E-02
1.242E-01,-1.368E+00,8.171E-02,-1.368E+00,8.171E-02,-1.368E+00,8.171E-02,-1.368E+00,8.171E-02,-1.368E+00,8.171E-02,-1.368E+00,8.171E-02,-1.368E+00,8.171E-02,-1.368E+00,8.171E-02,-1.237E+00,7.694E-02,-1.237E+00,7.694E-02,-1.149E+00,8.080E-02,-1.149E+00,8.080E-02,-1.237E+00,7.699E-02,-1.300E+00,8.495E-02,-1.300E+00,8.495E-02,-1.300E+00,8.495E-02,-1.372E+00,8.081E-02,-1.372E+00,8.081E-02,-1.400E+00,8.352E-02,-1.312E+00,7.740E-02
