time,species_1,species_2,species_3,species_4,species_5
6.03700E+01,1.00000E-01,1.00763E-01,9.26983E-02,9.88301E-02,3.93827E-04
6.03800E+01,1.00000E-01,1.00773E-01,9.24392E-02,1.01845E-01,3.79169E-04
6.03900E+01,1.00000E-01,1.00889E-01,9.26481E-02,1.02244E-01,3.83668E-04
6.04000E+01,1.00000E-01,1.00929E-01,9.28417E-02,1.03172E-01,4.13925E-04
6.04100E+01,1.00000E-01,1.00866E-01,9.30115E-02,1.01250E-01,3.96228E-04
6.04200E+01,1.00000E-01,1.00877E-01,9.34509E-02,1.01225E-01,4.21400E-04
6.04300E+01,1.00000E-01,1.01030E-01,9.31067E-02,1.00811E-01,4.18331E-04
6.04400E+01,1.00000E-01,1.01114E-01,9.27001E-02,1.01665E-01,4.20688E-04
6.04500E+01,1.00000E-01,1.01036E-01,9.31433E-02,1.03800E-01,4.40679E-04
6.04600E+01,1.00000E-01,1.00944E-01,9.36032E-02,1.04662E-01,4.43275E-04
6.04700E+01,1.00000E-01,1.01039E-01,9.39735E-02,1.03943E-01,4.28878E-04
6.04800E+01,1.00000E-01,1.01153E-01,9.33645E-02,1.03276E-01,4.25472E-04
6.04900E+01,1.00000E-01,1.01029E-01,9.34880E-02,1.03032E-01,4.36986E-04
6.05000E+01,1.00000E-01,1.01050E-01,9.39613E-02,1.02587E-01,4.37684E-04
6.05100E+01,1.00000E-01,1.00979E-01,9.48603E-02,1.03617E-01,4.64090E-04
6.05200E+01,1.00000E-01,1.00908E-01,9.47815E-02,1.04463E-01,4.51726E-04
6.05300E+01,1.00000E-01,1.01029E-01,9.48644E-02,1.03791E-01,4.81590E-04
6.05400E+01,1.00000E-01,1.01142E-01,9.50469E-02,1.02275E-01,4.72614E-04
6.05500E+01,1.00000E-01,1.01101E-01,9.47670E-02,1.02810E-01,4.69625E-04
6.05600E+01,1.00000E-01,1.01078E-01,9.46879E-02,1.02480E-01,4.71134E-04
6.05700E+01,1.00000E-01,1.01160E-01,9.55463E-02,1.02851E-01,4.54831E-04
6.05800E+01,1.00000E-01,1.01192E-01,9.59050E-02,1.02007E-01,4.47887E-04
6.05900E+01,1.00000E-01,1.01349E-01,9.59423E-02,1.02292E-01,4.35781E-04
6.06000E+01,1.00000E-01,1.01315E-01,9.65630E-02,1.04574E-01,4.26126E-04
6.06100E+01,1.00000E-01,1.01288E-01,9.65043E-02,1.04990E-01,4.12842E-04
6.06200E+01,1.00000E-01,1.01323E-01,9.65235E-02,1.06439E-01,4.39145E-04
6.06300E+01,1.00000E-01,1.01524E-01,9.60896E-02,1.07338E-01,4.50153E-04
6.06400E+01,1.00000E-01,1.01696E-01,9.68237E-02,1.08136E-01,4.48725E-04
6.06500E+01,1.00000E-01,1.01614E-01,9.66704E-02,1.08106E-01,4.77208E-04
6.06600E+01,1.00000E-01,1.01588E-01,9.70665E-02,1.08882E-01,4.97770E-04
6.06700E+01,1.00000E-01,1.01325E-01,9.69819E-02,1.09500E-01,4.74293E-04
6.06800E+01,1.00000E-01,1.01356E-01,9.77826E-02,1.10747E-01,4.63511E-04
6.06900E+01,1.00000E-01,1.01434E-01,9.76600E-02,1.12490E-01,4.70271E-04
6.07000E+01,1.00000E-01,1.01418E-01,9.78049E-02,1.12443E-01,4.66076E-04
6.07100E+01,1.00000E-01,1.01361E-01,9.75562E-02,1.11910E-01,4.68470E-04
6.07200E+01,1.00000E-01,1.01410E-01,9.72468E-02,1.12974E-01,4.67647E-04
6.07300E+01,1.00000E-01,1.01489E-01,9.71942E-02,1.11944E-01,4.82236E-04
6.07400E+01,1.00000E-01,1.01665E-01,9.63827E-02,1.12802E-01,4.85175E-04
6.07500E+01,1.00000E-01,1.01693E-01,9.64141E-02,1.11880E-01,5.24559E-04
6.07600E+01,1.00000E-01,1.01674E-01,9.61365E-02,1.13995E-01,5.08309E-04
6.07700E+01,1.00000E-01,1.01728E-01,9.44259E-02,1.14186E-01,5.07311E-04
6.07800E+01,1.00000E-01,1.02007E-01,9.47022E-02,1.13354E-01,5.08006E-04
6.07900E+01,1.00000E-01,1.01705E-01,9.49002E-02,1.14029E-01,5.31838E-04
6.08000E+01,1.00000E-01,1.01528E-01,9.45869E-02,1.13311E-01,5.29658E-04
6.08100E+01,1.00000E-01,1.01470E-01,9.51928E-02,1.11898E-01,5.50415E-04
6.08200E+01,1.00000E-01,1.01539E-01,9.52010E-02,1.11583E-01,5.57381E-04
6.08300E+01,1.00000E-01,1.01696E-01,9.56700E-02,1.12278E-01,5.59738E-04
6.08400E+01,1.00000E-01,1.01849E-01,9.55338E-02,1.12538E-01,5.54409E-04
6.08500E+01,1.00000E-01,1.01839E-01,9.60753E-02,1.13161E-01,5.55249E-04
6.08600E+01,1.00000E-01,1.01751E-01,9.65287E-02,1.13245E-01,5.78490E-04
6.08700E+01,1.00000E-01,1.01833E-01,9.73850E-02,1.13709E-01,5.87276E-04
6.08800E+01,1.00000E-01,1.01782E-01,9.69219E-02,1.15054E-01,5.92867E-04
6.08900E+01,1.00000E-01,1.01715E-01,9.68400E-02,1.16925E-01,6.21452E-04
6.09000E+01,1.00000E-01,1.01542E-01,9.69850E-02,1.17398E-01,6.59362E-04
6.09100E+01,1.00000E-01,1.01629E-01,9.74002E-02,1.17859E-01,6.75734E-04
6.09200E+01,1.00000E-01,1.01480E-01,9.72692E-02,1.17546E-01,6.75018E-04
6.09300E+01,1.00000E-01,1.01599E-01,9.76642E-02,1.19761E-01,7.01248E-04
6.09400E+01,1.00000E-01,1.01698E-01,9.73058E-02,1.19104E-01,6.76679E-04
6.09500E+01,1.00000E-01,1.01653E-01,9.71273E-02,1.19090E-01,6.79095E-04
6.09600E+01,1.00000E-01,1.01519E-01,9.72495E-02,1.21058E-01,6.42914E-04
6.09700E+01,1.00000E-01,1.01655E-01,9.75929E-02,1.21223E-01,6.35280E-04
6.09800E+01,1.00000E-01,1.01608E-01,9.80216E-02,1.20501E-01,6.50421E-04
6.09900E+01,1.00000E-01,1.01671E-01,9.82663E-02,1.21035E-01,6.22375E-04
6.10000E+01,1.00000E-01,1.01727E-01,9.82731E-02,1.20785E-01,6.05511E-04
6.10100E+01,1.00000E-01,1.01632E-01,9.77369E-02,1.21358E-01,5.97364E-04
6.10200E+01,1.00000E-01,1.01585E-01,9.74895E-02,1.20145E-01,6.14289E-04
6.10300E+01,1.00000E-01,1.01583E-01,9.76355E-02,1.19575E-01,6.22174E-04
